Day Count,Date,Alberta Health Services Zone,Case Count,Death Count
57,5/1/2020,Unknown,11,0
58,5/2/2020,Calgary Zone,3609,88
58,5/2/2020,Central Zone,74,0
58,5/2/2020,Edmonton Zone,476,13
58,5/2/2020,North Zone,208,15
58,5/2/2020,South Zone,1097,8
58,5/2/2020,Unknown,11,0
59,5/3/2020,Calgary Zone,3705,88
59,5/3/2020,Central Zone,74,0
59,5/3/2020,Edmonton Zone,478,13
59,5/3/2020,North Zone,212,15
59,5/3/2020,South Zone,1105,8
59,5/3/2020,Unknown,11,0
60,5/4/2020,Calgary Zone,3760,89
60,5/4/2020,Central Zone,74,0
60,5/4/2020,Edmonton Zone,479,13
60,5/4/2020,North Zone,212,15
60,5/4/2020,South Zone,1113,8
60,5/4/2020,Unknown,11,0
61,5/5/2020,Calgary Zone,3827,91
61,5/5/2020,Central Zone,76,0
61,5/5/2020,Edmonton Zone,482,13
61,5/5/2020,North Zone,214,15
61,5/5/2020,South Zone,1121,8
61,5/5/2020,Unknown,11,0
62,5/6/2020,Calgary Zone,3875,91
62,5/6/2020,Central Zone,77,0
62,5/6/2020,Edmonton Zone,482,13
62,5/6/2020,North Zone,216,15
62,5/6/2020,South Zone,1127,8
62,5/6/2020,Unknown,11,0
63,5/7/2020,Calgary Zone,3931,93
63,5/7/2020,Central Zone,81,0
63,5/7/2020,Edmonton Zone,484,13
63,5/7/2020,North Zone,216,15
63,5/7/2020,South Zone,1136,9
63,5/7/2020,Unknown,11,0
64,5/8/2020,Calgary Zone,3998,94
64,5/8/2020,Central Zone,81,0
64,5/8/2020,Edmonton Zone,484,13
64,5/8/2020,North Zone,216,15
64,5/8/2020,South Zone,1145,9
64,5/8/2020,Unknown,11,0
65,5/9/2020,Calgary Zone,4065,95
65,5/9/2020,Central Zone,81,0
65,5/9/2020,Edmonton Zone,486,13
65,5/9/2020,North Zone,217,15
65,5/9/2020,South Zone,1156,9
65,5/9/2020,Unknown,11,0
66,5/10/2020,Calgary Zone,4136,96
66,5/10/2020,Central Zone,81,0
66,5/10/2020,Edmonton Zone,490,13
66,5/10/2020,North Zone,217,15
66,5/10/2020,South Zone,1160,9
66,5/10/2020,Unknown,11,0
67,5/11/2020,Calgary Zone,4201,97
67,5/11/2020,Central Zone,81,0
67,5/11/2020,Edmonton Zone,490,13
67,5/11/2020,North Zone,217,15
67,5/11/2020,South Zone,1163,9
67,5/11/2020,Unknown,11,0
68,5/12/2020,Calgary Zone,4246,97
68,5/12/2020,Central Zone,82,0
68,5/12/2020,Edmonton Zone,492,13
68,5/12/2020,North Zone,217,15
68,5/12/2020,South Zone,1166,9
68,5/12/2020,Unknown,11,0
69,5/13/2020,Calgary Zone,4311,101
69,5/13/2020,Central Zone,82,0
69,5/13/2020,Edmonton Zone,494,13
69,5/13/2020,North Zone,217,15
69,5/13/2020,South Zone,1180,9
69,5/13/2020,Unknown,11,0
70,5/14/2020,Calgary Zone,4358,102
70,5/14/2020,Central Zone,85,0
70,5/14/2020,Edmonton Zone,494,13
70,5/14/2020,North Zone,219,15
70,5/14/2020,South Zone,1192,9
70,5/14/2020,Unknown,11,0
71,5/15/2020,Calgary Zone,4302,102
71,5/15/2020,Central Zone,85,0
71,5/15/2020,Edmonton Zone,495,13
71,5/15/2020,North Zone,219,15
71,5/15/2020,South Zone,1204,9
71,5/15/2020,Unknown,11,0
72,5/16/2020,Calgary Zone,4360,103
72,5/16/2020,Central Zone,85,0
72,5/16/2020,Edmonton Zone,496,13
72,5/16/2020,North Zone,219,15
72,5/16/2020,South Zone,1212,9
72,5/16/2020,Unknown,11,0
73,5/17/2020,Calgary Zone,4405,104
73,5/17/2020,Central Zone,85,0
73,5/17/2020,Edmonton Zone,496,13
73,5/17/2020,North Zone,220,15
73,5/17/2020,South Zone,1216,9
73,5/17/2020,Unknown,11,0
